gene_id	Description
hsa-mir-33b	Adipocyte Differentiation
hsa-mir-103a-2	Adipocyte Differentiation
hsa-mir-103a-1	Adipocyte Differentiation
hsa-let-7f-1	Adipocyte Differentiation
hsa-let-7f-2	Adipocyte Differentiation
hsa-mir-103b-1	Adipocyte Differentiation
hsa-mir-23a	Adipocyte Differentiation
hsa-mir-103b-2	Adipocyte Differentiation
hsa-mir-143	Adipocyte Differentiation
hsa-mir-320a	Adipocyte Differentiation
hsa-let-7a-1	Adipocyte Differentiation
hsa-mir-375	Adipocyte Differentiation
hsa-mir-222	Adipocyte Differentiation
hsa-mir-221	Adipocyte Differentiation
hsa-let-7b	Adipocyte Differentiation
hsa-mir-378c	Adipocyte Differentiation
hsa-mir-378a	Adipocyte Differentiation
hsa-mir-378f	Adipocyte Differentiation
hsa-mir-378g	Adipocyte Differentiation
hsa-let-7d	Adipocyte Differentiation
hsa-let-7e	Adipocyte Differentiation
hsa-let-7i	Adipocyte Differentiation
hsa-mir-19a	Adipocyte Differentiation
hsa-mir-27a	Adipocyte Differentiation
hsa-mir-27b	Adipocyte Differentiation
hsa-mir-20a	Adipocyte Differentiation
hsa-mir-378b	Adipocyte Differentiation
hsa-mir-17	Adipocyte Differentiation
hsa-mir-130a	Adipocyte Differentiation
hsa-mir-211	Adipocyte Differentiation
hsa-let-7g	Adipocyte Differentiation
hsa-mir-448	Adipocyte Differentiation
hsa-mir-137	Adipocyte Differentiation
hsa-mir-378e	Adipocyte Differentiation
hsa-mir-92a-1	Adipocyte Differentiation
hsa-mir-92a-2	Adipocyte Differentiation
hsa-mir-26b	Adipocyte Differentiation
hsa-mir-192	Adipocyte Differentiation
hsa-let-7a-2	Adipocyte Differentiation
hsa-let-7a-3	Adipocyte Differentiation
hsa-mir-204	Adipocyte Differentiation
hsa-mir-378b	Adipocyte Lipolysis
hsa-mir-378c	Adipocyte Lipolysis
hsa-mir-378a	Adipocyte Lipolysis
hsa-mir-378f	Adipocyte Lipolysis
hsa-mir-378g	Adipocyte Lipolysis
hsa-mir-378e	Adipocyte Lipolysis
hsa-mir-615	Adipocyte Lipolysis
hsa-mir-145	Adipocyte Lipolysis
hsa-mir-194-1	Adipogenesis
hsa-mir-122	Adipogenesis
hsa-mir-137	Adipogenesis
hsa-let-7g	Adipogenesis
hsa-mir-125a	Adipogenesis
hsa-mir-24-2	Adipogenesis
hsa-mir-26a-2	Adipogenesis
hsa-mir-302a	Adipogenesis
hsa-mir-455	Adipogenesis
hsa-mir-26b	Adipogenesis
hsa-mir-148a	Adipogenesis
hsa-mir-194-2	Adipogenesis
hsa-mir-140	Adipogenesis
hsa-mir-26a-1	Adipogenesis
hsa-mir-24-1	Adipogenesis
hsa-mir-188	Adipogenesis
hsa-mir-29a	Adipogenesis
hsa-mir-29c	Adipogenesis
hsa-mir-363	Adipogenesis
hsa-mir-204	Adipogenesis
hsa-mir-218-2	Adiponectin Signaling
hsa-mir-218-1	Adiponectin Signaling
hsa-mir-378a	Adiponectin Signaling
hsa-mir-193b	Adiponectin Signaling
hsa-mir-15a	Aging
hsa-mir-590	Aging
hsa-mir-21	Aging
hsa-mir-22	Aging
hsa-mir-451b	Aging
hsa-mir-451a	Aging
hsa-mir-194-1	Aging
hsa-mir-194-2	Aging
hsa-mir-92a-1	Aging
hsa-mir-148a	Aging
hsa-mir-145	Aging
hsa-mir-204	Aging
hsa-mir-637	Aging
hsa-mir-511	Aging
hsa-mir-100	Aging
hsa-mir-223	Aging
hsa-mir-181a-1	Aging
hsa-mir-221	Aging
hsa-let-7b	Aging
hsa-let-7c	Aging
hsa-mir-122	Aging
hsa-mir-16-1	Aging
hsa-let-7a-2	Aging
hsa-let-7g	Aging
hsa-mir-126	Aging
hsa-let-7e	Aging
hsa-mir-26a-2	Aging
hsa-mir-26a-1	Aging
hsa-mir-222	Aging
hsa-let-7d	Aging
