ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Carcinoma, Hepatocellular	Carcinoma, Hepatocellular	108/193	338/1764	1.72122768823079e-34	1.08093098820894e-31	3.40621900407778e-32	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-511/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-375/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-1269a/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-203b/hsa-mir-760/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-105-1/hsa-mir-7-1/hsa-mir-452/hsa-mir-1307/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-3664/hsa-mir-503/hsa-mir-433/hsa-mir-3127/hsa-mir-326/hsa-mir-19a/hsa-mir-877/hsa-mir-215/hsa-mir-188/hsa-mir-135b/hsa-mir-345/hsa-mir-1468/hsa-mir-675/hsa-mir-18a/hsa-mir-432/hsa-mir-483/hsa-mir-494/hsa-mir-411/hsa-mir-615/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-149/hsa-mir-3117/hsa-mir-20b/hsa-mir-129-2/hsa-mir-202/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	108
Hypoxia	Hypoxia	82/193	217/1764	2.08099747892936e-30	6.53433208383819e-28	2.05909224230905e-28	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-130b/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-665/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-760/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-493/hsa-mir-7-1/hsa-mir-452/hsa-mir-299/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-433/hsa-mir-326/hsa-mir-19a/hsa-mir-215/hsa-mir-188/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-615/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-20b/hsa-mir-202/hsa-mir-224/hsa-mir-7-2/hsa-mir-138-2	82
Carcinoma, Breast	Carcinoma, Breast	103/193	346/1764	2.92028417965223e-29	6.113128216072e-27	1.92636289745481e-27	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-1258/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-203b/hsa-mir-760/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-105-1/hsa-mir-493/hsa-mir-7-1/hsa-mir-452/hsa-mir-1307/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-605/hsa-mir-675/hsa-mir-18a/hsa-mir-3200/hsa-mir-494/hsa-mir-411/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-4728/hsa-mir-149/hsa-mir-20b/hsa-mir-519a-1/hsa-mir-129-2/hsa-mir-202/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	103
Osteosarcoma	Osteosarcoma	71/193	171/1764	7.17894044056305e-29	1.1270936491684e-26	3.55168632322593e-27	hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-144/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-381/hsa-mir-33a/hsa-mir-377/hsa-mir-7-1/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-326/hsa-mir-19a/hsa-mir-1247/hsa-mir-135b/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-329-2/hsa-mir-129-2/hsa-mir-202/hsa-mir-329-1/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	71
Carcinoma, Lung. Non-Small-Cell	Carcinoma, Lung. Non-Small-Cell	80/193	217/1764	1.21828867225974e-28	1.53017057235823e-26	4.82185832389117e-27	hsa-mir-139/hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-148b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-585/hsa-mir-203b/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-7-1/hsa-mir-452/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-326/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-205/hsa-mir-3619/hsa-mir-376a-2/hsa-mir-149/hsa-mir-20b/hsa-mir-129-2/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	80
Carcinoma, Gastric	Carcinoma, Gastric	90/193	275/1764	3.3931533928911e-28	3.55150055122602e-26	1.11914532958514e-26	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-551b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-676/hsa-mir-203b/hsa-mir-760/hsa-mir-381/hsa-mir-377/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-433/hsa-mir-326/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-149/hsa-mir-519a-1/hsa-mir-1284/hsa-mir-129-2/hsa-mir-202/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2	90
Carcinoma, Colon	Carcinoma, Colon	96/193	315/1764	1.22679156040692e-27	1.10060728562221e-25	3.46822275724061e-26	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-187/hsa-mir-204/hsa-mir-342/hsa-mir-1269a/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-760/hsa-mir-590/hsa-mir-493/hsa-mir-7-1/hsa-mir-1307/hsa-mir-584/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-326/hsa-mir-19a/hsa-mir-877/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-149/hsa-mir-20b/hsa-mir-1292/hsa-mir-129-2/hsa-mir-202/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	96
Carcinoma, Prostate	Carcinoma, Prostate	85/193	256/1764	7.95515227288094e-27	6.24479453421154e-25	1.96785345697581e-25	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-100/hsa-mir-1301/hsa-mir-196a-2/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-130b/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-187/hsa-mir-3677/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-665/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-7-1/hsa-mir-452/hsa-mir-1307/hsa-mir-299/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-19a/hsa-mir-654/hsa-mir-1247/hsa-mir-188/hsa-mir-135b/hsa-mir-345/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-639/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-455/hsa-mir-3619/hsa-mir-376a-2/hsa-mir-149/hsa-mir-129-2/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	85
Neoplasms [unspecific]	Neoplasms [unspecific]	75/193	208/1764	7.76679799772104e-26	5.41949904729868e-24	1.70778716207199e-24	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-1301/hsa-mir-196a-2/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-511/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-375/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-590/hsa-mir-493/hsa-mir-7-1/hsa-mir-452/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-376c/hsa-mir-326/hsa-mir-215/hsa-mir-188/hsa-mir-18a/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-4728/hsa-mir-149/hsa-mir-548e/hsa-mir-129-2/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	75
Glioma	Glioma	73/193	207/1764	2.44632632329217e-24	1.53629293102748e-22	4.84115103977819e-23	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-130b/hsa-mir-142/hsa-mir-181b-1/hsa-mir-454/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-381/hsa-mir-33a/hsa-mir-105-1/hsa-mir-7-1/hsa-mir-584/hsa-mir-143/hsa-mir-7-3/hsa-mir-326/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-656/hsa-mir-329-2/hsa-mir-1224/hsa-mir-149/hsa-mir-129-2/hsa-mir-329-1/hsa-mir-7-2/hsa-mir-138-2	73
