ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
"Carcinoma, Hepatocellular"	"Carcinoma, Hepatocellular"	106/196	338/1764	5.89E-32	3.70E-29	1.33E-29	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-616/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-539/hsa-mir-590/hsa-mir-199b/hsa-mir-33b/hsa-mir-331/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-3664/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-361/hsa-mir-345/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-744/hsa-mir-188/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-151a/hsa-mir-296/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-181d/hsa-mir-3131/hsa-mir-100/hsa-mir-95/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-582/hsa-mir-509-1/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-411/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-511/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-99b/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-581/hsa-mir-217/hsa-mir-151b/hsa-mir-187/hsa-mir-760/hsa-mir-483/hsa-mir-20b/hsa-mir-1180/hsa-mir-105-2/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-592/hsa-mir-935	106
"Carcinoma, Colon"	"Carcinoma, Colon"	91/196	315/1764	3.22E-23	1.01E-20	3.62E-21	hsa-mir-106a/hsa-mir-628/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-539/hsa-mir-590/hsa-mir-199b/hsa-mir-331/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-mir-301b/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-345/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-196b/hsa-mir-100/hsa-mir-95/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-582/hsa-mir-509-1/hsa-mir-328/hsa-mir-598/hsa-mir-18a/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-99b/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-551a/hsa-mir-217/hsa-mir-552/hsa-mir-187/hsa-mir-760/hsa-mir-483/hsa-mir-20b/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-592	91
irradiation	irradiation	44/196	81/1764	5.13E-23	1.07E-20	3.85E-21	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-126/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-128-2/hsa-mir-140/hsa-mir-744/hsa-mir-3170/hsa-mir-143/hsa-mir-222/hsa-mir-376a-1/hsa-mir-340/hsa-mir-374a/hsa-mir-653/hsa-mir-556/hsa-mir-93/hsa-mir-3131/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-598/hsa-mir-452/hsa-mir-18a/hsa-mir-155/hsa-mir-490/hsa-mir-29c/hsa-mir-1226/hsa-mir-20b/hsa-mir-605	44
"Carcinoma, Breast"	"Carcinoma, Breast"	94/196	346/1764	6.73E-22	1.06E-19	3.79E-20	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-199b/hsa-mir-33b/hsa-mir-331/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-3613/hsa-mir-23b/hsa-mir-361/hsa-mir-345/hsa-mir-128-2/hsa-mir-140/hsa-mir-576/hsa-mir-107/hsa-mir-30c-1/hsa-mir-744/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-296/hsa-mir-627/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-181d/hsa-mir-196b/hsa-mir-100/hsa-mir-130a/hsa-mir-1266/hsa-mir-19b-1/hsa-mir-509-1/hsa-mir-328/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-411/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-217/hsa-mir-4521/hsa-mir-760/hsa-mir-20b/hsa-mir-105-2/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-320d-1/hsa-mir-592/hsa-mir-605	94
"Carcinoma, Gastric"	"Carcinoma, Gastric"	80/196	275/1764	4.39E-20	5.51E-18	1.98E-18	hsa-mir-106a/hsa-mir-628/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-551b/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-331/hsa-mir-126/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-1271/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-627/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-196b/hsa-mir-100/hsa-mir-130a/hsa-mir-1266/hsa-mir-19b-1/hsa-mir-509-1/hsa-mir-328/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-504/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-217/hsa-mir-187/hsa-mir-760/hsa-mir-483/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b	80
Glioblastoma	Glioblastoma	60/196	168/1764	1.57E-19	1.43E-17	5.14E-18	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-331/hsa-mir-126/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-577/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-128-2/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-153-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-151a/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-147b/hsa-mir-93/hsa-mir-181d/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-504/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-31/hsa-mir-3189/hsa-mir-151b/hsa-mir-486-1/hsa-mir-1247	60
"Carcinoma, Prostate"	"Carcinoma, Prostate"	76/196	256/1764	1.60E-19	1.43E-17	5.14E-18	hsa-mir-628/hsa-mir-301a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-331/hsa-mir-126/hsa-mir-33a/hsa-mir-199a-2/hsa-mir-154/hsa-mir-301b/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-1271/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-345/hsa-mir-128-2/hsa-mir-32/hsa-mir-30c-1/hsa-mir-323a/hsa-mir-188/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-181d/hsa-mir-639/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-582/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-499a/hsa-mir-31/hsa-mir-3189/hsa-mir-187/hsa-mir-483/hsa-mir-541/hsa-mir-133a-2/hsa-mir-1247/hsa-mir-34b	76
"Carcinoma, Lung. Non-Small-Cell"	"Carcinoma, Lung. Non-Small-Cell"	69/196	217/1764	2.21E-19	1.73E-17	6.22E-18	hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-590/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-301b/hsa-mir-135b/hsa-mir-148a/hsa-mir-1271/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-1304/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-196b/hsa-mir-95/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-509-1/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-187/hsa-mir-483/hsa-mir-20b/hsa-mir-541/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-592	69
lipopolysaccharide (LPS)	lipopolysaccharide (LPS)	61/196	181/1764	2.20E-18	1.53E-16	5.50E-17	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-539/hsa-mir-590/hsa-mir-199b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-128-2/hsa-mir-642a/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-mir-675/hsa-mir-545/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-340/hsa-mir-1277/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-147b/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-212/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-1248/hsa-mir-99b/hsa-mir-31/hsa-mir-320c-1/hsa-mir-486-1/hsa-mir-1247	61
Hypoxia	Hypoxia	66/196	217/1764	2.80E-17	1.76E-15	6.30E-16	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-301b/hsa-mir-135b/hsa-mir-130b/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-140/hsa-mir-576/hsa-mir-107/hsa-mir-30c-1/hsa-mir-188/hsa-mir-30e/hsa-mir-210/hsa-mir-675/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-212/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-1-1/hsa-mir-4521/hsa-mir-760/hsa-mir-483/hsa-mir-20b/hsa-mir-1180/hsa-mir-486-1/hsa-mir-133a-2	66
