ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Carcinoma, Hepatocellular	Carcinoma, Hepatocellular	86/172	338/1764	2.81240379421183e-22	1.73806554482291e-19	8.25958587984316e-20	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-1269a/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-501/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-1269b/hsa-mir-221/hsa-mir-217/hsa-mir-1180/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-502/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-184/hsa-mir-30d/hsa-mir-216b/hsa-mir-877/hsa-mir-139/hsa-mir-190b/hsa-mir-216a/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-3144/hsa-mir-135a-1/hsa-mir-520a/hsa-mir-3127/hsa-mir-425/hsa-mir-20a/hsa-mir-511/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-508/hsa-mir-17/hsa-mir-130a/hsa-mir-362/hsa-mir-33b/hsa-mir-195/hsa-mir-188/hsa-mir-581/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-372/hsa-mir-326/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-199b/hsa-mir-509-3/hsa-mir-20b/hsa-mir-92b/hsa-mir-431/hsa-mir-199a-2/hsa-mir-3117/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-204/hsa-mir-483/hsa-mir-432/hsa-mir-485/hsa-mir-200c/hsa-mir-539/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	86
Carcinoma, Colon	Carcinoma, Colon	79/172	315/1764	1.38339851852218e-19	4.27470142223355e-17	2.03141150877731e-17	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-1269a/hsa-mir-96/hsa-mir-182/hsa-mir-532/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-502/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-454/hsa-mir-30d/hsa-mir-216b/hsa-mir-877/hsa-mir-139/hsa-mir-216a/hsa-mir-18a/hsa-mir-552/hsa-mir-19a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-520a/hsa-mir-425/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-362/hsa-mir-195/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-939/hsa-mir-219b/hsa-mir-372/hsa-mir-326/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-1292/hsa-mir-205/hsa-mir-509-2/hsa-mir-199b/hsa-mir-509-3/hsa-mir-20b/hsa-mir-431/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-410/hsa-mir-6734/hsa-mir-214/hsa-mir-493/hsa-mir-409/hsa-mir-204/hsa-mir-483/hsa-mir-200c/hsa-mir-539/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	79
Carcinoma, Gastric	Carcinoma, Gastric	70/172	275/1764	2.42381972745941e-17	4.99306863856639e-15	2.37279194372342e-15	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-500a/hsa-mir-96/hsa-mir-182/hsa-mir-532/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-500b/hsa-mir-502/hsa-mir-34c/hsa-mir-1266/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-139/hsa-mir-190b/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-425/hsa-mir-20a/hsa-mir-421/hsa-mir-519a-1/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-508/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-362/hsa-mir-33b/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-939/hsa-mir-219b/hsa-mir-326/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-409/hsa-mir-204/hsa-mir-551b/hsa-mir-483/hsa-mir-200c/hsa-mir-4739/hsa-mir-7-3/hsa-mir-135b	70
Carcinoma, Breast	Carcinoma, Breast	77/172	346/1764	1.45537094208708e-15	2.24854810552453e-13	1.06854866537446e-13	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-660/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-502/hsa-mir-34c/hsa-mir-1266/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-3200/hsa-mir-184/hsa-mir-30d/hsa-mir-216b/hsa-mir-1258/hsa-mir-139/hsa-mir-190b/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-421/hsa-mir-526b/hsa-mir-519a-1/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-195/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-939/hsa-mir-219b/hsa-mir-338/hsa-mir-765/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-199b/hsa-mir-509-3/hsa-mir-20b/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-493/hsa-mir-409/hsa-mir-204/hsa-mir-485/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b	77
Carcinoma, Prostate	Carcinoma, Prostate	61/172	256/1764	2.32648115258145e-13	2.87553070459067e-11	1.36650156120047e-11	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-500a/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-500b/hsa-mir-502/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-1301/hsa-mir-30d/hsa-mir-139/hsa-mir-3677/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-188/hsa-mir-19b-2/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-372/hsa-mir-765/hsa-mir-541/hsa-mir-3682/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-409/hsa-mir-204/hsa-mir-483/hsa-mir-485/hsa-mir-200c/hsa-mir-323b/hsa-mir-7-3/hsa-mir-135b	61
Hypoxia	Hypoxia	55/172	217/1764	3.56552787743782e-13	3.67249371376096e-11	1.74523206632483e-11	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-1180/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-30d/hsa-mir-139/hsa-mir-216a/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-188/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-326/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-20b/hsa-mir-92b/hsa-mir-431/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-493/hsa-mir-204/hsa-mir-483/hsa-mir-485/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	55
Carcinoma, Ovarian	Carcinoma, Ovarian	51/172	194/1764	7.38640813330519e-13	6.52114318054658e-11	3.0989592017927e-11	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-184/hsa-mir-30d/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-760/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-939/hsa-mir-372/hsa-mir-130b/hsa-mir-205/hsa-mir-509-2/hsa-mir-199b/hsa-mir-509-3/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-214/hsa-mir-409/hsa-mir-204/hsa-mir-551b/hsa-mir-483/hsa-mir-432/hsa-mir-485/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	51
Immune Response	Immune Response	33/172	92/1764	1.76596234708646e-12	1.36420591312429e-10	6.48294072154108e-11	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-500a/hsa-mir-532/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-181b-2/hsa-mir-362/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-326/hsa-mir-338/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-147b/hsa-mir-200c	33
Carcinoma, Bladder	Carcinoma, Bladder	38/172	120/1764	2.54052212704142e-12	1.74449186056844e-10	8.29012483560884e-11	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-1180/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-139/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-130a/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-199b/hsa-mir-20b/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-409/hsa-mir-200c	38
Neoplasms [unspecific]	Neoplasms [unspecific]	52/172	208/1764	3.70335987268821e-12	2.28867640132131e-10	1.08761832050527e-10	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-532/hsa-mir-501/hsa-mir-221/hsa-mir-660/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-1301/hsa-mir-30d/hsa-mir-139/hsa-mir-18a/hsa-mir-20a/hsa-mir-511/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-188/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-372/hsa-mir-326/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-199b/hsa-mir-509-3/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-214/hsa-mir-493/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3/hsa-mir-211	52
